,SLWL,SLWR,SCL,SCR,SRWL,SRWR,SDL,SDR,GLWL,GLWR,GCL,GCR,GRWL,GRWR,GDL,GDR,Goalie_Catches,Saved_Shots_Total,Goals_Total,Shots_Total,SV%,SV%_Left,SV%_Right,SV%_LeftWing_Total,SV%_LeftWing_Left,SV%_LeftWing_Right,SV%_Center_Total,SV%_Center_Left,SV%_Center_Right,SV%_RightWing_Total,SV%_RightWing_Left,SV%_RightWing_Right,SV%_Defense_Total,SV%_Defense_Left,SV%_Defense_Right,player_id,player_name
8470645,223,40,245,174,55,113,201,144,19,4,25,22,9,14,7,12,L,1195,112,1307,0.9143075745983168,0.923469387755102,0.9005736137667304,0.9195804195804196,0.9214876033057852,0.9090909090909091,0.8991416309012875,0.9074074074074074,0.8877551020408163,0.8795811518324608,0.859375,0.889763779527559,0.9478021978021978,0.9663461538461539,0.9230769230769231,8470645,Corey Crawford
8475215,200,36,260,167,66,119,215,130,19,2,37,22,8,11,9,4,L,1193,112,1305,0.9141762452107279,0.9103194103194103,0.9205702647657841,0.9182879377431906,0.91324200913242,0.9473684210526315,0.8786008230452675,0.8754208754208754,0.8835978835978836,0.9068627450980392,0.8918918918918919,0.9153846153846154,0.9636871508379888,0.9598214285714286,0.9701492537313433,8475215,Robin Lehner
8468011,137,19,114,85,32,46,102,86,18,2,20,9,4,3,5,3,L,621,64,685,0.9065693430656935,0.8912037037037037,0.932806324110672,0.8863636363636364,0.8838709677419355,0.9047619047619048,0.8728070175438597,0.8507462686567164,0.9042553191489362,0.9176470588235294,0.8888888888888888,0.9387755102040817,0.9591836734693877,0.9532710280373832,0.9662921348314607,8468011,Ryan Miller
8473575,204,28,233,162,55,117,206,168,24,5,22,22,7,20,6,8,L,1173,114,1287,0.9114219114219114,0.9220607661822986,0.8962264150943396,0.8888888888888888,0.8947368421052632,0.8484848484848485,0.8997722095671982,0.9137254901960784,0.8804347826086957,0.864321608040201,0.8870967741935484,0.8540145985401459,0.9639175257731959,0.9716981132075472,0.9545454545454546,8473575,Semyon Varlamov
8474636,86,8,63,51,30,47,40,66,17,1,11,5,5,7,1,3,R,391,50,441,0.8866213151927438,0.8656126482213439,0.9148936170212766,0.8392857142857143,0.8349514563106796,0.8888888888888888,0.8769230769230769,0.8513513513513513,0.9107142857142857,0.8651685393258427,0.8571428571428571,0.8703703703703703,0.9636363636363636,0.975609756097561,0.9565217391304348,8474636,Michael Hutchinson
8476434,242,35,296,194,63,149,238,199,20,7,48,24,14,21,11,9,L,1416,154,1570,0.9019108280254777,0.9002145922746781,0.9043887147335423,0.9111842105263158,0.9236641221374046,0.8333333333333334,0.8718861209964412,0.8604651162790697,0.8899082568807339,0.8582995951417004,0.8181818181818182,0.8764705882352941,0.9562363238512035,0.9558232931726908,0.9567307692307693,8476434,John Gibson
8469608,168,35,197,136,42,97,153,154,26,2,28,16,7,14,7,9,L,982,109,1091,0.9000916590284143,0.89171974522293,0.9114470842332614,0.8787878787878788,0.865979381443299,0.9459459459459459,0.883289124668435,0.8755555555555555,0.8947368421052632,0.86875,0.8571428571428571,0.8738738738738738,0.9504643962848297,0.95625,0.9447852760736196,8469608,Mike Smith
8471679,305,34,332,177,76,161,279,240,39,7,39,27,8,17,14,11,L,1604,162,1766,0.9082672706681767,0.9084249084249084,0.9080118694362018,0.8805194805194805,0.8866279069767442,0.8292682926829268,0.8852173913043478,0.894878706199461,0.8676470588235294,0.9045801526717557,0.9047619047619048,0.9044943820224719,0.9540441176470589,0.9522184300341296,0.9561752988047809,8471679,Carey Price
8474651,234,20,280,177,82,125,219,198,29,5,40,31,15,14,16,7,L,1335,157,1492,0.8947721179624665,0.8907103825136612,0.901213171577123,0.8819444444444444,0.8897338403041825,0.8,0.865530303030303,0.875,0.8509615384615384,0.8771186440677966,0.845360824742268,0.8992805755395683,0.9477272727272728,0.9319148936170213,0.9658536585365853,8474651,Braden Holtby
8471734,189,26,234,154,67,103,183,156,22,6,37,14,5,12,12,14,L,1112,122,1234,0.9011345218800648,0.8985313751668892,0.9051546391752577,0.8847736625514403,0.8957345971563981,0.8125,0.8838268792710706,0.8634686346863468,0.9166666666666666,0.9090909090909091,0.9305555555555556,0.8956521739130435,0.9287671232876712,0.9384615384615385,0.9176470588235294,8471734,Jonathan Quick
